table	1829
provide	9247
summary	200
case	27382
derive	1376
forecast	4835
give	3000
report	3063
brief	198
description	259
major	3446
assumption	2759
underlie	433
projection	8252
mode	2014
run	2458
nem	731
fully	968
integrate	3597
par	124
tially	55
integrated	244
standalone	45
reference	12763
page	443
body	307
discuss	2967
domestic	3104
macroeconomic	629
activity	2178
present	8707
market	11546
trend	2532
section	1168
following	42
describe	1797
key	3198
regulatory	1372
pro	2437
resource	6692
factor	6171
detailed	1393
sector	9144
available	3313
internet	50
web	1741
site	3823
result	23717
regional	2525
detail	886
world	10332
oil	14423
price	20270
assume	4581
annual	5102
average	8179
acquisition	167
cost	20463
import	5141
crude_oil	2531
u.s	6369
refiner	328
low	19015
high	25175
reflect	2029
alternative	3780
expansion	2223
production_capacity	269
nation	1802
organization	583
petroleum	2704
export	3847
country	9667
opec	2409
particularly	1810
producer	1954
persian	260
gulf	645
region	8832
competition	1141
united_states	3372
examine	3360
national	3844
level	10971
useful	982
coal	17927
natural_gas	15334
well	2871
significant	5756
amount	813
fire	4344
capacity	11626
subregion	22
serc	21
reliability	1094
corporation	207
emm	26
ratio	3539
fuel	18751
ngcc	24
plant	7472
steam	2149
turbine	2815
gas	12792
figure	5466
efficient	3564
fleet	661
remain	3934
near	1530
competitive	1628
majority	540
period	6963
indicate	4349
continue	3735
strong	2233
heat	11812
rate	9293
largely	1044
drop	1081
deliver	1952
somewhat	268
central	1774
appalachian	90
illinois	52
basin	417
transport	2383
rail	545
southeast	191
powder	77
river_basin	81
travel	1342
great	3383
distance	676
use	15088
typically	602
coast	405
tend	758
expensive	701
retirement	496
generator	1987
total	11904
gigawatt	1743
new	12389
requirement	2398
install	85
environmental	4287
control	5908
equipment	2167
exist	4826
lead	5274
additional	2854
share	5704
percent	21374
rise	3280
account	5838
large	9686
generating	1357
power_plant	4058
vary	2185
shift	1833
generation	14258
electric	5130
power	19599
grow	6250
compare	8524
conversely	44
midwest	69
western	860
portion	618
cover	1209
ohio	26
indiana	23
west	807
virginia	39
state	7330
combine	3714
cycle	5706
approach	6277
heavily	481
dependent	899
fall	1980
nearly	1346
represent	2787
limited	1418
occur	1860
access	1498
multiple	1390
source	6916
include	11110
transportation	4803
deter	49
favor	340
interior	104
ability	1027
switch	680
moderate	612
expenditure	607
reduce	11345
economic	7053
incentive	1979
build	3802
increase	28510
relative	2324
make	1783
different	10016
contribute	2251
limit	3050
impact	7802
see	833
power_sector	1424
decline	5687
replace	1158
biomass	4089
co	3636
economical	547
unit	4657
operate	2767
regulation	2549
encourage	1034
refinery	793
industry	5108
deregulation	281
inefficient	318
demand	13981
growth	9934
response	2597
late	712
eliminate	427
excess	664
utilization	1631
location	1401
production	15388
petroleum_product	475
consumer	3266
complex	1142
exceed	1102
domestic_production	263
long	5358
net	3402
importer	193
year	14997
refined	131
product	2824
rapidly	1110
refining	345
fill	374
gap	963
historically	195
availability	1441
lack	1289
foreign	663
capable	516
meet	3669
stringent	408
standard	5016
recently	1122
asia	2572
move	689
adopt	1773
develop	9185
able	1525
vide	105
suitable	1172
future	6420
profitable	302
change	8714
direct	2185
refer	880
ence	574
sulfur	1508
light	1818
dollar	1045
reach	2687
barrel	4497
begin	2052
slow	2494
gasoline	2981
gallon	969
accordingly	308
retail_price	71
comparison	2569
diesel_fuel	713
recent	2885
federal	1534
enact	368
consistent	698
taxis	711
slightly	1334
real	3296
term	8288
substantially	827
highway	387
diesel	2395
cent	1782
retail	638
consumption	11425
project	16815
record	498
date	851
domestic_consumption	118
drive	2671
generally	1346
wellhead	295
significantly	3017
economic_growth	3879
similar	1949
recover	830
output	4641
effect	9945
reduction	8031
input	2360
absorb	253
eventually	109
crude	214
pace	356
expand	1787
supply	7318
step	1437
generate	3330
doe	633
goal	2057
like	979
renewable	6337
improve	6229
performance	10938
capital	2202
station	890
nonhydroelectric	141
technology	13496
renewable_resources	161
landfill	116
order	4626
approximate	32
publish	610
target	3888
office	792
energy	40049
effi	245
ciency	155
renewable_energy	5056
difference	2935
instead	726
incorporate	1440
opera	69
tion	3206
maintenance	608
improvement	3940
capac	235
ity	666
wind	6761
residential	3456
commercial	3649
photovoltaic	2216
system	27721
place	1516
development	7340
geo	58
thermal	7451
require	5740
